Source,Target,Type,Weight
Hunt,Newman,Undirected,9
Davidson,Ferguson,Undirected,25
Murray,Weber,Undirected,13
Ferguson,Frazier,Undirected,32
Park,Douglas,Undirected,14
Barnett,Johnson,Undirected,9
Russell,Reyes,Undirected,6
Warner,Simpson,Undirected,7
Graves,Robertson,Undirected,7
Nguyen,Vasquez,Undirected,18
Gonzales,Norris,Undirected,27
Garrett,Schmidt,Undirected,13
Fernandez,Kelly,Undirected,12
Little,Frazier,Undirected,57
Garza,Hicks,Undirected,156
Moreno,Garrett,Undirected,28
Clark,Dean,Undirected,13
Bradley,Frazier,Undirected,19
Mcdaniel,Carlson,Undirected,29
Ruiz,Barnes,Undirected,7
Carroll,Vasquez,Undirected,19
Young,Weaver,Undirected,32
Thomas,Norris,Undirected,8
Schmidt,Garrett,Undirected,10
Mcdaniel,Schneider,Undirected,10
Ross,Lewis,Undirected,11
Harrison,Cunningham,Undirected,69
Robinson,Aguilar,Undirected,8
Peterson,Perry,Undirected,34
Patel,Rivera,Undirected,24
Vaughn,Lopez,Undirected,30
Long,Watson,Undirected,13
Barnes,Neal,Undirected,9
Stanley,Graves,Undirected,27
Andersen,Childress,Undirected,12
Duong,Sheldon,Undirected,9
Shirley,Wooten,Undirected,5
Akers,Gallo,Undirected,32
Uribe,Denny,Undirected,29
North,Sheridan,Undirected,58
Sorensen,Parra,Undirected,22
Thurman,Burkett,Undirected,39
Truong,Gomes,Undirected,35
Guy,Gallo,Undirected,62
Knowles,Reyna,Undirected,10
Guillen,Driscoll,Undirected,16
Ybarra,Mcgrath,Undirected,5
Hinkle,Sands,Undirected,51
Prater,Tracy,Undirected,29
Spence,Landis,Undirected,119
Manley,Purcell,Undirected,29
Katz,Whitley,Undirected,19
Talley,Rosenberg,Undirected,35
Robison,Amaya,Undirected,27
Blanton,Bauer,Undirected,15
Prater,Hager,Undirected,9
Byers,Lowry,Undirected,5
Davila,Dunham,Undirected,15
Spangler,Sherwood,Undirected,32
Nava,Hutton,Undirected,5
Donaldson,Godwin,Undirected,20
Mcgrath,Hamm,Undirected,10
Grace,Healy,Undirected,27
Downing,Gaston,Undirected,8
Elkins,Magee,Undirected,8
Marcus,Youngblood,Undirected,30
Self,Clarke,Undirected,33
Dunbar,Sands,Undirected,163
Cortez,Werner,Undirected,5
Couch,Coulter,Undirected,6
Newsome,Swain,Undirected,11
Landers,Cabral,Undirected,14
Pritchett,Yanez,Undirected,39
Cummins,Truong,Undirected,12
Andersen,Teague,Undirected,13
Wooten,Thomson,Undirected,15
Hinkle,Lowry,Undirected,8
Corley,Downs,Undirected,40
Person,Queen,Undirected,40
Irvin,Sands,Undirected,104
Dunbar,Dooley,Undirected,39
Cortes,Keys,Undirected,37
Kowalski,Caballero,Undirected,11
Steiner,Story,Undirected,56
Coulter,Purcell,Undirected,33
Lucero,Phipps,Undirected,27
Holley,Huerta,Undirected,27
Silver,Aldridge,Undirected,22
Raines,Garland,Undirected,8
Adair,Sheldon,Undirected,62
Mcdermott,Aguilera,Undirected,6
Hollis,Barlow,Undirected,47
Berman,Teague,Undirected,26
Kraus,Renteria,Undirected,114
Kiser,Akers,Undirected,133
Napier,Renteria,Undirected,17
Dickens,Morin,Undirected,11
Stanton,Huggins,Undirected,70
Metzger,Tripp,Undirected,72
Conklin,Prater,Undirected,19
Benoit,Cash,Undirected,24
Healy,Portillo,Undirected,70
Whaley,Travis,Undirected,20
Stiles,Bauman,Undirected,5
Brennan,Lanier,Undirected,56
Kiser,Barlow,Undirected,5
Segura,Dill,Undirected,32
Phan,Noel,Undirected,6
Flanagan,Kimball,Undirected,13
Zapata,Madrid,Undirected,8
Hedrick,Leslie,Undirected,25
Hannah,Marcus,Undirected,6
Paige,Leslie,Undirected,26
Silver,Thurman,Undirected,31
Angel,Yee,Undirected,10
Rowland,Singer,Undirected,48
Bland,Villegas,Undirected,20
Fontenot,Odom,Undirected,86
Sterling,Jamison,Undirected,11
Gallardo,Barnard,Undirected,9
Boyce,Whitfield,Undirected,16
Reece,Pritchard,Undirected,36
Haney,Cortes,Undirected,13
Hutchins,Madden,Undirected,24
Kiser,Sheldon,Undirected,6
Alfaro,Dunbar,Undirected,14
Hatcher,Renteria,Undirected,24
Miner,Poe,Undirected,143
Whitley,Valle,Undirected,39
Fitch,Tomlinson,Undirected,38
Hagen,Haines,Undirected,11
Rhoades,Rubin,Undirected,10
Langston,Mackey,Undirected,33
Gamble,North,Undirected,34
Crouch,Nava,Undirected,8
Peoples,Silver,Undirected,59
Camp,Holbrook,Undirected,39
Diehl,Holliday,Undirected,20
Shoemaker,Barlow,Undirected,60
Hatcher,Hutton,Undirected,24
Kendall,Donaldson,Undirected,25
Holbrook,Dotson,Undirected,25
Flanagan,Staley,Undirected,37
Aldridge,Reyna,Undirected,22
Hopper,Whitfield,Undirected,54
Stubbs,Ferris,Undirected,22
Francisco,Hendrickson,Undirected,31
Vinson,Irwin,Undirected,12
Riggs,Mcneil,Undirected,44
Butts,Carlisle,Undirected,67
Coyle,North,Undirected,34
Petty,Sinclair,Undirected,7
Ash,Kidd,Undirected,37
Peoples,Holbrook,Undirected,9
Tan,Aldridge,Undirected,38
Hurt,Mayfield,Undirected,95
Rouse,Herndon,Undirected,16
Noel,Rosenberg,Undirected,64
Holbrook,Silver,Undirected,57
Cherry,Starks,Undirected,72
Story,Boyce,Undirected,21
Forrest,Dodd,Undirected,13
Bauer,Brennan,Undirected,31
Pettit,Beach,Undirected,122
Leal,Gunter,Undirected,51
Whitley,Poe,Undirected,48
Corbett,Weston,Undirected,19
Koehler,Guy,Undirected,147
Tipton,Camp,Undirected,27
Guthrie,Correa,Undirected,28
Napier,Bunch,Undirected,61
Manuel,Kilgore,Undirected,28
Greenberg,Barajas,Undirected,19
Varela,Lott,Undirected,27
Hinson,Villalobos,Undirected,65
Doherty,Alfaro,Undirected,14
Nix,Casillas,Undirected,35
Tackett,Aldridge,Undirected,15
Bermudez,Portillo,Undirected,17
Boyce,Kowalski,Undirected,12
Bower,Novak,Undirected,15
Field,Wesley,Undirected,42
Donaldson,Aragon,Undirected,7
Butts,Bingham,Undirected,21
Lu,Prado,Undirected,52
Kiser,Beyer,Undirected,12
Stacy,Steiner,Undirected,17
Sykes,Cotton,Undirected,35
Arredondo,Kruse,Undirected,30
Brand,Bright,Undirected,8
Winston,Goins,Undirected,11
Crouch,Whalen,Undirected,7
Rutherford,Guthrie,Undirected,30
Kidd,Grace,Undirected,6
Bustamante,Sheldon,Undirected,9
Gallardo,Paz,Undirected,21
Cherry,Delaney,Undirected,9
Hannah,Sears,Undirected,8
Stanford,Roth,Undirected,56
Bustamante,Elder,Undirected,49
Butts,Denny,Undirected,10
Hartley,Jacob,Undirected,8
Hagan,Cano,Undirected,45
Kidd,Hinojosa,Undirected,8
Beyer,Bonner,Undirected,31
Darby,North,Undirected,66
Tomlinson,Epps,Undirected,12
Shapiro,Varela,Undirected,39
Blanco,Beaver,Undirected,14
Rudolph,Land,Undirected,51
Olvera,Huff,Undirected,16
Zapata,Villalobos,Undirected,46
Rosado,Nieto,Undirected,9
Jarrett,Bustamante,Undirected,11
Akers,Blue,Undirected,19
Alston,Dill,Undirected,8
Esquivel,Dickens,Undirected,21
Corona,Page,Undirected,26
Wolff,Hanley,Undirected,18
Hargrove,Spangler,Undirected,7
Hinkle,Goldman,Undirected,22
Wooten,Sheldon,Undirected,8
Hargrove,Guy,Undirected,29
Gaston,Carlisle,Undirected,7
Boyce,Reece,Undirected,6
Quezada,Billings,Undirected,11
Pinto,Dickson,Undirected,22
Marino,Milligan,Undirected,70
Rowland,Kirkpatrick,Undirected,11
Costello,Teague,Undirected,5
Koehler,Hoskins,Undirected,8
Toth,Sheehan,Undirected,7
Dodd,Walden,Undirected,13
Ricks,Bateman,Undirected,52
Vinson,Ratliff,Undirected,30
Rouse,Camp,Undirected,8
Carmona,Schaffer,Undirected,108
Gary,Spence,Undirected,22
Thurman,Hatcher,Undirected,25
Joyce,Shapiro,Undirected,10
Workman,Paredes,Undirected,7
Crabtree,Chaney,Undirected,8
Raines,Whalen,Undirected,22
Bolton,Holliday,Undirected,54
Gunter,Darby,Undirected,23
Rico,Bloom,Undirected,15
Varela,Cummins,Undirected,31
Rizzo,Connell,Undirected,33
Epps,Trejo,Undirected,18
Salgado,Quintana,Undirected,13
Adair,Bowling,Undirected,29
Levine,Purcell,Undirected,5
Hager,Hagan,Undirected,19
Epps,Stanford,Undirected,23
Sands,Mcgrath,Undirected,18
Knowles,Schmitt,Undirected,28
Langley,Gold,Undirected,6
Amos,Boswell,Undirected,16
Grimm,Sheridan,Undirected,53
Amaya,Rizzo,Undirected,15
Leal,Franks,Undirected,29
Bowling,Saenz,Undirected,6
Maurer,Crockett,Undirected,8
Hinojosa,Voss,Undirected,27
Hadley,Delaney,Undirected,5
Hurtado,Queen,Undirected,124
Noel,Bowles,Undirected,8
Coates,Franks,Undirected,76
Dang,Oleary,Undirected,8
Barnhart,Cano,Undirected,5
Archer,Godfrey,Undirected,5
Sadler,Cherry,Undirected,9
Noel,Talley,Undirected,7
Burkett,Clifford,Undirected,16
Conklin,Pritchard,Undirected,5
Newell,Wilder,Undirected,12
Mcelroy,Urban,Undirected,6
Crow,Rollins,Undirected,43
Phipps,Tobin,Undirected,12
Ewing,Cooke,Undirected,11
Dunham,Duarte,Undirected,5
Brennan,Camacho,Undirected,5
Voss,Foreman,Undirected,14
Hollis,Foreman,Undirected,10
Osorio,Holbrook,Undirected,13
Pina,Monroe,Undirected,27
Pritchard,Biggs,Undirected,14
Lange,Lu,Undirected,50
Steward,Dick,Undirected,11
Smiley,Chappell,Undirected,11
Ng,Vu,Undirected,26
Farris,Purcell,Undirected,13
Donaldson,Connolly,Undirected,61
Brantley,Feldman,Undirected,17
Engel,Urban,Undirected,34
Christian,Lowry,Undirected,6
Cordero,Mccann,Undirected,42
England,Caruso,Undirected,38
Boyce,Kiser,Undirected,5
Blackmon,Fountain,Undirected,38
Fontenot,Purcell,Undirected,63
Lu,Corley,Undirected,9
Marcus,Metcalf,Undirected,95
Craft,Hatfield,Undirected,16
Phan,Pedersen,Undirected,6
Regan,Fitch,Undirected,6
Steiner,Crum,Undirected,19
Mayfield,Friend,Undirected,25
Riggs,Downing,Undirected,37
Weir,Mcclendon,Undirected,55
Burks,Bowles,Undirected,18
Kowalski,Dotson,Undirected,7
Lowry,Archer,Undirected,23
Pritchard,Flanagan,Undirected,61
Leal,Kidd,Undirected,42
Hanley,Tripp,Undirected,73
Mcneil,Latham,Undirected,31
Maddox,Piper,Undirected,6
Duong,Kilgore,Undirected,6
Abrams,Pereira,Undirected,26
Hendrickson,Metzger,Undirected,37
Christopher,Thurman,Undirected,95
Joyce,Bolden,Undirected,25
Crabtree,Langston,Undirected,23
Bolden,Prater,Undirected,8
Barnhart,Lott,Undirected,47
Boucher,Oneil,Undirected,6
Raines,Ash,Undirected,7
Doss,Steward,Undirected,12
Cuevas,Hays,Undirected,27
Baird,Aldridge,Undirected,14
Shearer,Tackett,Undirected,67
Darby,Sinclair,Undirected,17
Grimm,Reece,Undirected,48
Barlow,Ziegler,Undirected,37
Winter,Robison,Undirected,35
Alfaro,Donaldson,Undirected,11
Coulter,Michel,Undirected,10
Keenan,Arredondo,Undirected,12
Ricks,Farris,Undirected,11
Neely,Langston,Undirected,11
Sargent,Smiley,Undirected,5
Posey,Hadley,Undirected,25
Britton,Levine,Undirected,23
Huggins,Bragg,Undirected,8
Albright,Tillman,Undirected,37
Odell,Weston,Undirected,24
Dick,Hadley,Undirected,16
Denton,Rhoades,Undirected,6
Holden,Stroud,Undirected,7
Delatorre,Munson,Undirected,8
Sears,Mccray,Undirected,24
Mccain,Lu,Undirected,25
Stover,Hoyt,Undirected,11
Tracy,Dempsey,Undirected,12
Dotson,Finch,Undirected,90
Flaherty,Pierre,Undirected,92
Ash,Fontenot,Undirected,17
Latham,Biggs,Undirected,54
Hager,Dickens,Undirected,8
Coker,Pinto,Undirected,26
Downing,Thurman,Undirected,10
Rosa,Peralta,Undirected,32
Hurtado,Staley,Undirected,8
Paredes,Peoples,Undirected,6
Ferris,Tipton,Undirected,14
Overton,Quiroz,Undirected,9
Schmitt,Painter,Undirected,9
Doss,Bateman,Undirected,11
Bingham,Hendrickson,Undirected,72
Holbrook,Peoples,Undirected,23
Gagnon,Finn,Undirected,9
Wills,Roche,Undirected,14
Hollis,Stratton,Undirected,9
Woody,Heller,Undirected,9
Hyde,Yeager,Undirected,8
Kimball,Kiser,Undirected,41
Foreman,Silver,Undirected,14
Reyna,Shirley,Undirected,12
Herbert,Marcus,Undirected,5
Cano,Coates,Undirected,58
Kang,Dukes,Undirected,16
Purcell,Dotson,Undirected,10
Darby,Cramer,Undirected,29
Mccauley,Renteria,Undirected,22
Bermudez,Levine,Undirected,5
John,Barnhart,Undirected,5
Garland,Mata,Undirected,28
Esposito,Duke,Undirected,14
Uribe,Story,Undirected,23
Lu,Guthrie,Undirected,27
Finn,Doss,Undirected,34
Serna,Kurtz,Undirected,158
Beatty,Becerra,Undirected,41
Raines,Cherry,Undirected,12
Goodrich,Goldman,Undirected,10
Ziegler,Barlow,Undirected,37
Thacker,Hewitt,Undirected,24
Sheldon,Devine,Undirected,23
Groves,Downing,Undirected,34
Mobley,Cody,Undirected,5
Daly,Ocampo,Undirected,108
Stubbs,Buckner,Undirected,22
Sheldon,Sinclair,Undirected,91
Samuels,Hyde,Undirected,43
Painter,Saldana,Undirected,21
Britton,Morin,Undirected,14
Sheridan,Pritchard,Undirected,52
Dukes,Burks,Undirected,28
Gifford,Alfaro,Undirected,8
Corona,Han,Undirected,44
Kimball,Maloney,Undirected,7
Hatcher,Shirley,Undirected,19
North,Darby,Undirected,23
Tan,Holbrook,Undirected,38
Vernon,Swain,Undirected,40
Gunter,Stapleton,Undirected,12
Caudill,Huerta,Undirected,49
Leal,Hendrickson,Undirected,37
Godfrey,Cordova,Undirected,11
Whalen,Joyce,Undirected,15
Branch,Cooley,Undirected,54
Mccray,Burks,Undirected,30
Hadley,Coulter,Undirected,8
Dempsey,Whalen,Undirected,16
England,Epps,Undirected,5
Locke,Paredes,Undirected,8
Bowles,Woodruff,Undirected,20
Pereira,Dietz,Undirected,5
Phan,Alfaro,Undirected,19
Edmonds,Tillman,Undirected,8
Posey,Ring,Undirected,36
Kaur,Crocker,Undirected,37
Jarrett,Rosas,Undirected,62
Ahmed,Hightower,Undirected,271
Bolton,Shearer,Undirected,37
Greenwood,Heard,Undirected,6
Langston,Hoskins,Undirected,10
Gamble,Crum,Undirected,30
Epps,Morin,Undirected,10
Winston,Sinclair,Undirected,15
Clifford,Riggs,Undirected,95
Velasco,Bryson,Undirected,27
Phan,Whitman,Undirected,7
Wolff,Francisco,Undirected,32
Jung,Kauffman,Undirected,34
Hurt,Penn,Undirected,60
Costello,Portillo,Undirected,8
Norwood,Bermudez,Undirected,36
Epps,Stratton,Undirected,22
Dewitt,Saenz,Undirected,67
Deal,Burks,Undirected,7
Greenberg,Gleason,Undirected,9
Prater,Hadley,Undirected,23
Cortes,Talley,Undirected,5
Muniz,Laird,Undirected,14
Mcneill,Schmitt,Undirected,12
Sadler,Mccauley,Undirected,6
Gagnon,Grimm,Undirected,8
Kraus,Henley,Undirected,48
Dick,Darby,Undirected,6
Covington,Carrasco,Undirected,8
Blanco,Wiseman,Undirected,15
Truong,Spicer,Undirected,34
Redmond,Locke,Undirected,13
North,Rico,Undirected,102
Crum,Sinclair,Undirected,14
Jewell,Hatch,Undirected,17
Norton,Piper,Undirected,16
Downing,Ocampo,Undirected,69
Samuel,Bunch,Undirected,8
Jarvis,Schumacher,Undirected,23
Stern,Rowland,Undirected,7
Cano,Gunter,Undirected,54
Peacock,Cramer,Undirected,10
Corona,Colbert,Undirected,101
Bright,Childs,Undirected,7
Lockwood,Lay,Undirected,47
Flanagan,Hoskins,Undirected,16
Cornell,Madrigal,Undirected,127
Driscoll,Felix,Undirected,26
Petty,Reece,Undirected,32
Brand,Langston,Undirected,9
Staley,Grady,Undirected,6
Vu,Marino,Undirected,26
Rizzo,Vu,Undirected,26
Gary,Leslie,Undirected,64
Levin,Alfaro,Undirected,21
Goodrich,Deal,Undirected,10
Finch,Gunter,Undirected,66
Jacob,Tripp,Undirected,9
Godfrey,Noel,Undirected,14
Dale,Anaya,Undirected,19
Hadley,Saldana,Undirected,9
Langley,Ricks,Undirected,12
Brantley,Thomason,Undirected,18
Wilhelm,Grace,Undirected,18
Sears,Burks,Undirected,87
Ring,Wilhelm,Undirected,67
Neely,Akers,Undirected,17
Gallardo,Barrios,Undirected,21
Snider,Hadley,Undirected,15
Winkler,Mobley,Undirected,12
Queen,Riggs,Undirected,51
Clifton,Holley,Undirected,89
Louis,Tillman,Undirected,14
Fontenot,Raines,Undirected,24
Bateman,Hendrickson,Undirected,27
Couch,Ludwig,Undirected,7
Foreman,Polk,Undirected,7
Nieto,Winn,Undirected,15
Stubbs,Steiner,Undirected,18
Workman,Spivey,Undirected,8
Spicer,Brewster,Undirected,26
Booker,Meade,Undirected,12
Tobin,Eddy,Undirected,11
Snider,Stapleton,Undirected,6
Weir,Cabral,Undirected,33
Whitman,Archer,Undirected,7
Nicholas,Dang,Undirected,53
Buckner,Starks,Undirected,8
Payton,Foreman,Undirected,13
Gold,Travis,Undirected,24
Shirley,Coulter,Undirected,64
North,Fontenot,Undirected,8
Fontenot,Blount,Undirected,7
Galindo,Aldridge,Undirected,7
Whitley,Doherty,Undirected,6
North,Shirley,Undirected,91
Barnhart,North,Undirected,235
Funk,Law,Undirected,31
Teague,Gold,Undirected,7
Cote,Mccann,Undirected,18
Mead,Trotter,Undirected,10
Lott,Gallo,Undirected,19
Holliday,Garland,Undirected,206
Harrell,Phan,Undirected,15
Tackett,Shapiro,Undirected,7
Langston,Aldridge,Undirected,22
Rutherford,Geiger,Undirected,18
Starr,Angel,Undirected,9
Steiner,Grimm,Undirected,28
Shearer,Duong,Undirected,15
Hurt,Webber,Undirected,6
Cates,Newsome,Undirected,19
Yeager,Lu,Undirected,11
Bolton,Quiroz,Undirected,15
Cordova,Lowry,Undirected,37
Draper,Heller,Undirected,141
Posey,Crum,Undirected,21
Peoples,Posey,Undirected,110
Corley,Irvin,Undirected,12
Dick,Crum,Undirected,25
Hutton,Carrasco,Undirected,33
Sinclair,Costello,Undirected,70
Mcqueen,Marino,Undirected,19
Jacobsen,Jorgensen,Undirected,6
Bolton,Hopper,Undirected,20
Ferris,Baird,Undirected,163
Ring,Manley,Undirected,8
Odom,Epps,Undirected,21
Goldstein,Vickers,Undirected,14
Levine,Hoskins,Undirected,14
Dick,Redmond,Undirected,8
Bullard,Greenwood,Undirected,9
Jacob,Masters,Undirected,28
Winston,Grimm,Undirected,13
Stahl,Steiner,Undirected,7
Mcgraw,Do,Undirected,20
Langston,Metz,Undirected,16
Dahl,Duong,Undirected,16
Tomlinson,Franks,Undirected,5
Bateman,Stubbs,Undirected,8
Renteria,Coulter,Undirected,13
Finch,Coates,Undirected,9
Knowles,Courtney,Undirected,44
Mckenna,Yee,Undirected,28
Ring,Butts,Undirected,19
Camp,Putnam,Undirected,9
Yee,Ramey,Undirected,32
Hollis,Reece,Undirected,5
Pritchard,Rico,Undirected,7
Amos,Bonner,Undirected,39
Gallo,Dickens,Undirected,24
Flanagan,Gold,Undirected,32
Landis,Bustamante,Undirected,5
Werner,Bauer,Undirected,36
Gleason,Kruse,Undirected,16
Crum,North,Undirected,8
Landis,Paredes,Undirected,6
Colon,Bauer,Undirected,20
Rosas,Holbrook,Undirected,18
Grace,Cooke,Undirected,49
Bullard,Holley,Undirected,34
Baez,Coulter,Undirected,21
Hendrickson,Francisco,Undirected,31
Triplett,Dodge,Undirected,18
Mcclellan,Coates,Undirected,21
Merrill,Mcneil,Undirected,42
Landers,Pereira,Undirected,9
Bolden,Palacios,Undirected,9
Presley,Vernon,Undirected,29
Dotson,Koehler,Undirected,25
Kraus,Coyle,Undirected,33
Kimball,Mcdermott,Undirected,21
Coffman,Beatty,Undirected,9
Spangler,Bateman,Undirected,66
Holliday,Yanez,Undirected,27
Tracy,Bonner,Undirected,6
Couch,Sutherland,Undirected,23
Dickens,Holliday,Undirected,83
Dejesus,Cortez,Undirected,6
Merrill,Langley,Undirected,6
Abrams,Roche,Undirected,27
Siegel,Werner,Undirected,13
Hutton,Gamble,Undirected,25
Burrell,Mcgraw,Undirected,5
Laird,Davison,Undirected,22
Poe,Paz,Undirected,13
Shearer,Bolton,Undirected,6
Sheffield,Ivey,Undirected,17
Ash,Akers,Undirected,154
Baird,Paredes,Undirected,14
Keenan,Gibbons,Undirected,87
Stover,Bustamante,Undirected,19
Dick,Hurtado,Undirected,13
Tipton,Bolton,Undirected,48
Whalen,Tipton,Undirected,51
Villalobos,Land,Undirected,23
Peoples,Leal,Undirected,5
Crouch,Thomson,Undirected,23
Darby,John,Undirected,9
Renteria,Hurd,Undirected,97
Bruno,Flaherty,Undirected,5
Nava,Hadley,Undirected,22
Franks,Steiner,Undirected,30
Tipton,Rouse,Undirected,42
Caballero,Adair,Undirected,10
Nava,Manuel,Undirected,8
Beyer,Levine,Undirected,87
Holbrook,Merrill,Undirected,9
Carney,Kilgore,Undirected,17
Swartz,Otto,Undirected,24
Metzger,Brewster,Undirected,7
Gomes,Hager,Undirected,28
Proctor,Gillis,Undirected,44
Bolden,Hutton,Undirected,9
Mayfield,Wilder,Undirected,8
Bonner,Sutherland,Undirected,38
Davison,Amos,Undirected,29
Hoskins,Cates,Undirected,8
Heller,Hendrix,Undirected,39
Mcgowan,Godfrey,Undirected,8
Bolton,Tackett,Undirected,12
Foreman,Morin,Undirected,8
Polk,Grimm,Undirected,49
Goodrich,Phan,Undirected,18
Mims,Kendrick,Undirected,31
Mobley,Crocker,Undirected,57
Vu,Otto,Undirected,66
Felix,Eddy,Undirected,6
Cheng,Bauer,Undirected,7
Burrell,Beal,Undirected,13
Hanley,Buckner,Undirected,101
Muniz,Adair,Undirected,19
Vogel,Mccollum,Undirected,65
Castle,Cabral,Undirected,36
Hewitt,Benoit,Undirected,9
Tillman,Mcdonough,Undirected,7
Heller,Downs,Undirected,12
Aldridge,Crum,Undirected,29
Wooten,Finch,Undirected,26
Ahmed,Grace,Undirected,132
Villegas,Bingham,Undirected,57
Regan,Gunter,Undirected,34
Fitch,Dick,Undirected,53
Pollard,Ervin,Undirected,15
Epps,Coates,Undirected,10
Manley,Kowalski,Undirected,64
Hinojosa,Osorio,Undirected,9
Hurtado,Langston,Undirected,14
Palacios,Madden,Undirected,43
Schafer,Mooney,Undirected,22
Quiroz,Sheridan,Undirected,24
Bonner,Coates,Undirected,9
Crouch,Kilgore,Undirected,55
Carrasco,Langston,Undirected,15
Clifton,Bullard,Undirected,13
Zepeda,Swenson,Undirected,16
Bruno,Schaffer,Undirected,23
Hong,Bustamante,Undirected,10
Crabtree,Whalen,Undirected,6
Rico,Bolton,Undirected,28
Crouch,Hoskins,Undirected,25
Boggs,Bauer,Undirected,20
Langston,Merrill,Undirected,16
Gomes,Varela,Undirected,66
Reyna,Stapleton,Undirected,12
Roth,Amos,Undirected,90
Fountain,Ratliff,Undirected,7
Foreman,Cherry,Undirected,52
Meade,Greenwood,Undirected,10
Baca,Gifford,Undirected,11
Wilder,Anaya,Undirected,16
Covington,Teague,Undirected,20
Sands,Aragon,Undirected,28
Gamble,Adair,Undirected,22
Arrington,Andersen,Undirected,95
Kowalski,Kiser,Undirected,5
Hoskins,Covington,Undirected,10
Palacios,Varela,Undirected,9
Jarrett,Hinojosa,Undirected,10
Mcqueen,Mcelroy,Undirected,23
Coulter,Spivey,Undirected,39
Hopper,Landis,Undirected,13
Dunbar,Baca,Undirected,5
Cummins,Kimball,Undirected,13
Stiles,Murillo,Undirected,6
Lord,Kincaid,Undirected,12
Gallardo,Godwin,Undirected,18
Colvin,Dillard,Undirected,21
Juarez,Cortez,Undirected,51
Dickinson,Byers,Undirected,13
Connors,Sprague,Undirected,23
Hargrove,Bermudez,Undirected,10
Mackey,Napier,Undirected,55
Anaya,Mchugh,Undirected,7
Archer,Whitman,Undirected,9
Monroe,Mann,Undirected,15
Beatty,Arredondo,Undirected,117
Lujan,Whaley,Undirected,18
Baca,Pedersen,Undirected,16
Purcell,Manuel,Undirected,9
Gleason,Donaldson,Undirected,19
Tatum,Rutledge,Undirected,5
Coker,Weir,Undirected,48
Guidry,Metz,Undirected,70
Camp,Langley,Undirected,16
Mcclendon,Hewitt,Undirected,163
Aldridge,Dick,Undirected,13
Tipton,Renteria,Undirected,12
Lehman,Camp,Undirected,347
Bower,Arredondo,Undirected,20
Paz,Mccray,Undirected,24
Couch,Shirley,Undirected,20
Levine,Stover,Undirected,110
Garland,Raines,Undirected,14
Ahmed,Langston,Undirected,9
Caruso,Landis,Undirected,7
Purcell,Stanford,Undirected,36
Billings,Beatty,Undirected,27
Queen,Spivey,Undirected,7
Sheridan,Kidd,Undirected,29
Sheldon,Rosas,Undirected,23
Biggs,Carlisle,Undirected,72
Dotson,Dahl,Undirected,98
Saenz,Raines,Undirected,42
Spence,Lott,Undirected,37
Ash,Grimm,Undirected,17
Tipton,Villegas,Undirected,69
Dolan,Davila,Undirected,33
Uribe,Portillo,Undirected,8
Draper,Roland,Undirected,13
Teague,Ocampo,Undirected,33
Gunter,Smallwood,Undirected,56
Gamble,Purcell,Undirected,83
Garland,Kraus,Undirected,13
Pollard,Thomason,Undirected,10
Dick,Carlisle,Undirected,9
Louis,Crow,Undirected,9
Rainey,Tovar,Undirected,19
Jeffries,Ohara,Undirected,7
Westbrook,Portillo,Undirected,21
Piper,Mims,Undirected,15
Rutherford,Newell,Undirected,6
Goff,Erwin,Undirected,29
Milligan,Eddy,Undirected,59
Cooke,Kilgore,Undirected,14
Stapleton,Smallwood,Undirected,164
Bloom,Murdock,Undirected,26
Epps,Tripp,Undirected,17
Sheldon,Chaney,Undirected,14
Healy,Cramer,Undirected,16
Fontenot,Tracy,Undirected,53
Caruso,Beaver,Undirected,17
Tomlinson,Renteria,Undirected,47
Kimball,Cherry,Undirected,6
Covington,Silver,Undirected,5
Goldstein,Coates,Undirected,8
Metcalf,Webber,Undirected,29
Edmonds,Dill,Undirected,232
Goodrich,Vang,Undirected,9
Osorio,Covington,Undirected,5
Hendrix,Whitney,Undirected,32
Barnard,Pedersen,Undirected,13
Vera,Spaulding,Undirected,65
Angel,Salgado,Undirected,89
Stacy,Coulter,Undirected,34
Renteria,Sheridan,Undirected,7
Steiner,Payton,Undirected,47
Franks,Locke,Undirected,5
Ring,Holbrook,Undirected,11
Kinney,Forrest,Undirected,17
Mcghee,Dejesus,Undirected,155
Osorio,Hagen,Undirected,5
Arredondo,Corley,Undirected,39
Landis,Stahl,Undirected,32
Daugherty,Stacy,Undirected,9
Goodrich,Bassett,Undirected,22
Roth,Sutherland,Undirected,9
Healy,North,Undirected,9
Leslie,Hinojosa,Undirected,28
Gunter,Boyce,Undirected,7
Epps,Coyle,Undirected,65
Smallwood,Hurd,Undirected,7
Cartwright,Vernon,Undirected,10
Muniz,Finn,Undirected,8
Rowland,Tillman,Undirected,41
Carlisle,Hinojosa,Undirected,36
Mcclellan,Mooney,Undirected,26
Heard,Waller,Undirected,14
Maloney,Landis,Undirected,23
Sheldon,Silver,Undirected,64
Whitley,Gifford,Undirected,21
Dickens,Wilhelm,Undirected,40
Gallo,Lutz,Undirected,22
Angel,Mobley,Undirected,5
Harrell,Forrest,Undirected,10
Raines,Grimm,Undirected,8
Osorio,Ziegler,Undirected,51
Amaya,Mcdonough,Undirected,19
Mooney,Riggs,Undirected,11
Bustamante,Purcell,Undirected,5
Stubbs,Hagan,Undirected,54
Cassidy,Langston,Undirected,20
Weston,Arrington,Undirected,6
